name,department,email,salary,years_at_company,start_date
Pamela Wyatt,Marketing,pamela.wyatt@polars.io,122541,8,2017-04-20
Summer Moore,Finance,summer.moore@polars.io,157304,5,2020-02-02
Tyler Clark,Marketing,tyler.clark@polars.io,113452,7,2017-12-02
John Garner,Sales,john.garner@polars.io,79973,9,2016-02-23
Yvonne King,HR,yvonne.king@polars.io,69492,2,2022-08-24
Timothy Bean,Finance,timothy.bean@polars.io,164222,6,2018-08-29
Ronald Weber,,ronald.weber@polars.io,81527,1,2024-06-06
Shaun Pruitt,Operations,shaun.pruitt@polars.io,102519,3,2022-02-07
Gina Conrad,Engineering,gina.conrad@polars.io,158188,4,2020-09-11
Ryan Salas,Marketing,ryan.salas@polars.io,105916,4,2020-12-02
Robert Kramer,Finance,robert.kramer@polars.io,167600,9,2015-10-26
Dustin Jenkins,HR,dustin.jenkins@polars.io,87131,2,2023-04-14
Melissa Ruiz,Finance,melissa.ruiz@polars.io,123027,2,2023-03-19
Colleen Gray,Marketing,colleen.gray@polars.io,96491,1,2024-03-31
James Schroeder,Operations,james.schroeder@polars.io,106020,1,2024-05-29
Sherry Robertson,Sales,sherry.robertson@polars.io,86010,8,2017-06-21
Martha Chase,Sales,martha.chase@polars.io,81018,8,2017-06-06
Jennifer Mckee,Sales,jennifer.mckee@polars.io,72200,9,2016-04-30
Phillip Wilson,Sales,phillip.wilson@polars.io,80548,4,2021-03-22
Marcus Abbott,Operations,marcus.abbott@polars.io,128338,4,2020-12-03
Steven Harris,Marketing,steven.harris@polars.io,88284,2,2022-10-21
Reginald Wallace,Finance,reginald.wallace@polars.io,142361,0,2025-06-29
Robert Russell,Marketing,robert.russell@polars.io,103385,5,2019-11-17
Danny Smith,HR,danny.smith@polars.io,95427,4,2020-10-10
Jeffrey Figueroa,HR,jeffrey.figueroa@polars.io,68854,8,2017-04-19
Carol Stephenson,,carol.stephenson@polars.io,84920,10,2014-08-28
Jessica Smith,,jessica.smith@polars.io,83506,8,2016-08-25
Frederick Fitzgerald,Marketing,frederick.fitzgerald@polars.io,114982,4,2021-01-21
Peter Gaines,HR,peter.gaines@polars.io,95367,3,2022-06-02
Cameron Lee,HR,cameron.lee@polars.io,80176,5,2019-12-19
Kelly Matthews,Engineering,kelly.matthews@polars.io,140410,4,2021-07-12
Regina Reynolds,Sales,regina.reynolds@polars.io,89296,2,2023-01-22
Stephanie Robertson,Engineering,stephanie.robertson@polars.io,181498,8,2017-07-14
Veronica Mckinney,Marketing,veronica.mckinney@polars.io,112239,7,2018-02-15
Ricardo Thomas,Sales,ricardo.thomas@polars.io,83209,4,2020-09-15
Jacob Schmitt,Operations,jacob.schmitt@polars.io,132216,0,2024-10-09
Stephen Mack,Engineering,stephen.mack@polars.io,144716,6,2018-10-04
Patrick Watts,HR,patrick.watts@polars.io,85870,3,2022-04-25
Craig Wood,Marketing,craig.wood@polars.io,128307,10,2015-01-01
Tonya Hebert,Finance,tonya.hebert@polars.io,169592,3,2022-03-05
Amanda Robinson,Sales,amanda.robinson@polars.io,82671,10,2015-03-19
Rebecca Day,,rebecca.day@polars.io,72816,4,2020-08-19
Zachary Barrett,Marketing,zachary.barrett@polars.io,114861,4,2020-12-18
John Gilmore,Operations,john.gilmore@polars.io,135933,1,2024-04-14
Pamela Black,Operations,pamela.black@polars.io,98978,1,2023-08-25
John Henderson,HR,john.henderson@polars.io,89672,4,2020-07-24
Krista Newman,,krista.newman@polars.io,87243,3,2022-02-03
Aimee Reeves,Sales,aimee.reeves@polars.io,64971,0,2024-10-16
Matthew Hancock,Sales,matthew.hancock@polars.io,67185,1,2024-02-23
Thomas Jones,Engineering,thomas.jones@polars.io,136389,7,2018-07-14
Crystal Price,Operations,crystal.price@polars.io,85911,2,2023-07-10
Ryan Adams,HR,ryan.adams@polars.io,74233,5,2019-12-15
Mrs. Jennifer Price DDS,Engineering,mrs..dds@polars.io,185325,5,2019-11-23
Linda Carpenter,Marketing,linda.carpenter@polars.io,131866,0,2025-01-28
Betty Hicks,Sales,betty.hicks@polars.io,64574,0,2025-03-02
Paul Kennedy,Finance,paul.kennedy@polars.io,171435,1,2023-10-12
Jonathan Brooks,HR,jonathan.brooks@polars.io,71901,3,2022-03-11
Patrick Fuentes,Finance,patrick.fuentes@polars.io,170014,0,2025-05-15
Ronald Floyd,Finance,ronald.floyd@polars.io,152631,6,2018-12-04
Sharon Schwartz,Operations,sharon.schwartz@polars.io,128340,0,2025-04-06
John Stout,HR,john.stout@polars.io,66157,8,2016-08-12
Shane Chavez,Operations,shane.chavez@polars.io,110987,6,2018-08-04
James Briggs,Engineering,james.briggs@polars.io,162344,2,2022-08-29
Destiny Frost,Marketing,destiny.frost@polars.io,82764,8,2016-10-25
Yolanda Moore,Sales,yolanda.moore@polars.io,71601,7,2017-08-26
Robin Hardy,Engineering,robin.hardy@polars.io,146047,5,2020-06-21
Melissa Hernandez,Finance,melissa.hernandez@polars.io,148545,1,2024-03-18
William Lambert,Marketing,william.lambert@polars.io,108453,5,2020-07-10
Austin Anderson,Operations,austin.anderson@polars.io,132061,4,2020-09-21
Kendra Schmidt,Sales,kendra.schmidt@polars.io,80939,3,2022-07-13
Zachary Bell,Sales,zachary.bell@polars.io,86147,9,2016-04-30
Christian Cooper,Engineering,christian.cooper@polars.io,131728,3,2022-04-28
Mark Costa,HR,mark.costa@polars.io,65990,10,2014-09-06
Gary Banks,Engineering,gary.banks@polars.io,127871,0,2025-01-15
Phillip Phillips,Marketing,phillip.phillips@polars.io,90087,8,2017-05-25
Kevin Landry,Operations,kevin.landry@polars.io,111971,3,2022-02-05
Brian White,,brian.white@polars.io,77761,7,2018-04-11
Mark Mcmahon,Sales,mark.mcmahon@polars.io,79757,5,2020-05-10
Diane Cooper,Engineering,diane.cooper@polars.io,125175,7,2017-07-22
Carrie Alvarez,HR,carrie.alvarez@polars.io,96636,4,2020-10-13
Ronald Clark,Marketing,ronald.clark@polars.io,112118,3,2021-09-30
Kaitlin Hernandez,Operations,kaitlin.hernandez@polars.io,115626,5,2020-02-03
George Hunter,Marketing,george.hunter@polars.io,110696,4,2020-09-14
Erin Sullivan,Finance,erin.sullivan@polars.io,192682,2,2023-06-12
Ashley Powell,,ashley.powell@polars.io,65159,7,2018-02-17
Jamie Simmons,Finance,jamie.simmons@polars.io,154517,8,2017-01-12
Tina Martinez,HR,tina.martinez@polars.io,60047,10,2014-11-02
Anna Myers,HR,anna.myers@polars.io,72159,0,2024-09-02
Alexandra English,Finance,alexandra.english@polars.io,167720,9,2016-03-18
Laura Lambert,Engineering,laura.lambert@polars.io,128302,10,2014-10-17
Daniel Jenkins,Finance,daniel.jenkins@polars.io,170789,3,2021-10-22
Ashley Clarke,Marketing,ashley.clarke@polars.io,112607,8,2017-05-01
Samuel Graham,,samuel.graham@polars.io,73555,5,2019-12-21
Thomas Wright,Marketing,thomas.wright@polars.io,101104,1,2024-05-28
Brian Pearson,,brian.pearson@polars.io,59369,0,2025-05-11
Dustin Beck,Operations,dustin.beck@polars.io,137245,0,2025-04-04
Mr. Tyler Davis,Sales,mr..davis@polars.io,86809,3,2022-05-28
Aaron King,Sales,aaron.king@polars.io,80467,10,2014-11-11
Jodi Patel,,jodi.patel@polars.io,71773,0,2025-01-10
Tyler Christian,Operations,tyler.christian@polars.io,119711,1,2024-07-10
Stephen Martinez,Operations,stephen.martinez@polars.io,122975,7,2018-06-08
Ernest Jordan,HR,ernest.jordan@polars.io,63978,5,2019-10-06
Anthony Grant,Marketing,anthony.grant@polars.io,138355,6,2019-01-11
Billy Stokes,Finance,billy.stokes@polars.io,127641,9,2016-03-04
Rachel Hurley,,rachel.hurley@polars.io,57664,1,2024-02-12
John Lucas,Sales,john.lucas@polars.io,69149,8,2017-05-30
Jeanette Jimenez,Sales,jeanette.jimenez@polars.io,70139,8,2017-01-02
Adam King,Operations,adam.king@polars.io,92656,8,2016-08-16
Ryan Sutton,Operations,ryan.sutton@polars.io,117357,10,2015-04-19
Melanie Conway,,melanie.conway@polars.io,82209,1,2023-08-25
Beth Perez,,beth.perez@polars.io,78459,10,2014-11-27
Marie Black,Marketing,marie.black@polars.io,123597,6,2019-05-26
James Torres,Operations,james.torres@polars.io,131934,2,2022-10-09
Brandy Lozano,HR,brandy.lozano@polars.io,93075,5,2019-08-16
Taylor Davis,Operations,taylor.davis@polars.io,114989,9,2015-12-05
Billy Owens,Engineering,billy.owens@polars.io,161307,8,2017-02-02
Rachel Morris,Finance,rachel.morris@polars.io,168722,6,2018-08-28
Kimberly Carroll,HR,kimberly.carroll@polars.io,81197,9,2016-03-17
Jillian Phillips,,jillian.phillips@polars.io,69019,6,2018-10-10
Lori Williams,Marketing,lori.williams@polars.io,96651,5,2019-11-29
Isaiah Smith,HR,isaiah.smith@polars.io,86023,0,2025-06-29
Erin Johnson,Engineering,erin.johnson@polars.io,198087,0,2024-10-24
Anthony Cox,Operations,anthony.cox@polars.io,138348,4,2021-07-14
Timothy Larson,Engineering,timothy.larson@polars.io,149083,3,2022-02-06
Mathew Woods,Sales,mathew.woods@polars.io,73085,8,2016-10-30
Jeffrey Benson,,jeffrey.benson@polars.io,65139,1,2024-06-27
Scott Flores,HR,scott.flores@polars.io,83308,2,2023-05-08
Dr. Nicole Terry,Engineering,dr..terry@polars.io,168114,9,2016-03-13
Michael Pena,Operations,michael.pena@polars.io,96793,4,2021-05-31
Laura Chambers,,laura.chambers@polars.io,81201,9,2016-03-29
Jeffrey Walker,Marketing,jeffrey.walker@polars.io,85059,5,2019-11-13
John Brown,Operations,john.brown@polars.io,111999,9,2016-05-31
Mark Velez,,mark.velez@polars.io,74686,0,2024-09-24
Lindsey Cruz MD,HR,lindsey.md@polars.io,65143,0,2025-01-26
Chad Mcguire,Engineering,chad.mcguire@polars.io,176925,6,2019-05-18
Bobby Jackson,Finance,bobby.jackson@polars.io,149716,10,2014-09-14
Alicia Jones,Sales,alicia.jones@polars.io,80066,0,2025-02-10
Jacob Ramos,,jacob.ramos@polars.io,57698,5,2019-10-15
Daniel Bass,,daniel.bass@polars.io,64802,5,2019-11-03
Ryan Watkins,Marketing,ryan.watkins@polars.io,94470,2,2023-06-22
Erin Rasmussen,Marketing,erin.rasmussen@polars.io,127944,6,2018-12-02
Sharon Sherman,Finance,sharon.sherman@polars.io,198005,9,2015-11-03
Jennifer Rojas,Sales,jennifer.rojas@polars.io,69554,6,2019-02-20
Darlene Williamson,Finance,darlene.williamson@polars.io,171684,2,2023-05-11
Marie Mcdonald,Engineering,marie.mcdonald@polars.io,130819,7,2017-09-29
John Williams,Marketing,john.williams@polars.io,83231,8,2016-12-26
Douglas Watts,Engineering,douglas.watts@polars.io,131151,6,2018-11-04
Sheri Jackson,HR,sheri.jackson@polars.io,68544,2,2022-11-13
Paul Cruz,,paul.cruz@polars.io,67983,7,2017-12-28
Jeffrey Owen,Marketing,jeffrey.owen@polars.io,117442,3,2021-10-03
Robin Copeland,,robin.copeland@polars.io,89357,3,2022-03-15
Joy Baker,Sales,joy.baker@polars.io,72449,6,2019-02-03
Daniel Weaver,Marketing,daniel.weaver@polars.io,117749,1,2024-05-20
Kristen Wells,Marketing,kristen.wells@polars.io,107104,6,2019-01-12
Lauren Rocha,Engineering,lauren.rocha@polars.io,144967,5,2020-01-23
Jason Williams,,jason.williams@polars.io,56586,4,2021-04-22
Elizabeth Stevenson,Engineering,elizabeth.stevenson@polars.io,177961,9,2016-05-05
Rita Clark,HR,rita.clark@polars.io,62941,3,2022-04-06
John Cain,Marketing,john.cain@polars.io,104498,2,2023-06-04
Lee Kaiser,Sales,lee.kaiser@polars.io,58574,3,2021-09-03
Caitlin Chapman,Operations,caitlin.chapman@polars.io,136934,4,2021-07-10
Suzanne Reed,Engineering,suzanne.reed@polars.io,134585,4,2020-11-29
Jenny Acosta,HR,jenny.acosta@polars.io,61490,5,2020-04-01
Trevor Garcia,Marketing,trevor.garcia@polars.io,115258,3,2022-04-04
Chad Rice,,chad.rice@polars.io,89292,4,2020-10-10
Richard Morales,HR,richard.morales@polars.io,69263,10,2015-07-10
Sandra Estrada,HR,sandra.estrada@polars.io,98207,10,2014-10-23
Karen Sims,Sales,karen.sims@polars.io,71741,2,2023-06-17
Tommy Walls,Engineering,tommy.walls@polars.io,146305,9,2016-03-02
Brian Brady,Sales,brian.brady@polars.io,85471,10,2015-07-15
Thomas Nunez,Sales,thomas.nunez@polars.io,80470,10,2015-03-03
Richard Moreno,Marketing,richard.moreno@polars.io,135842,10,2015-01-16
Anthony Osborn,Finance,anthony.osborn@polars.io,134141,0,2025-02-17
Danielle Gray,Finance,danielle.gray@polars.io,170662,3,2022-01-04
Michael Bell,,michael.bell@polars.io,61527,5,2019-11-12
Manuel Newton,Finance,manuel.newton@polars.io,198263,8,2017-06-03
Scott Wallace,Operations,scott.wallace@polars.io,93033,8,2016-11-26
Frances Hernandez,,frances.hernandez@polars.io,56408,0,2025-03-12
Suzanne Chavez DDS,,suzanne.dds@polars.io,74983,5,2019-11-10
Maria Andrews,HR,maria.andrews@polars.io,70289,0,2025-01-20
Aaron Martinez,Marketing,aaron.martinez@polars.io,103062,5,2019-09-01
Tammy Jimenez,Engineering,tammy.jimenez@polars.io,150959,8,2017-02-27
Ethan Gregory,Finance,ethan.gregory@polars.io,128127,10,2015-03-10
Zachary Woods,HR,zachary.woods@polars.io,61931,8,2017-02-25
Ryan Monroe,Operations,ryan.monroe@polars.io,89942,5,2019-12-29
Michele Fields,Marketing,michele.fields@polars.io,88995,1,2024-01-03
Michelle Jones,,michelle.jones@polars.io,69904,6,2019-03-17
Veronica Gutierrez,,veronica.gutierrez@polars.io,65010,6,2019-02-09
Patrick Medina MD,,patrick.md@polars.io,76580,7,2017-10-14
Erin Griffin,Operations,erin.griffin@polars.io,93550,10,2015-05-10
Jacqueline Hudson,,jacqueline.hudson@polars.io,68258,2,2023-02-09
Dennis Carrillo,Marketing,dennis.carrillo@polars.io,126211,8,2017-05-10
Jeffery Sharp,HR,jeffery.sharp@polars.io,69512,10,2014-10-03
Angela Brown,Operations,angela.brown@polars.io,100807,1,2023-10-05
Lisa Anderson,,lisa.anderson@polars.io,62758,2,2023-02-05
Richard Chambers,Finance,richard.chambers@polars.io,139073,0,2025-02-03
Laura Salinas,HR,laura.salinas@polars.io,86951,4,2020-12-03
Nicholas Boyd,Marketing,nicholas.boyd@polars.io,133850,10,2015-03-01
Dr. Jacqueline Smith,Operations,dr..smith@polars.io,131059,3,2022-05-24
Kevin Kennedy MD,Operations,kevin.md@polars.io,92107,0,2024-09-06
Paul Kirk,,paul.kirk@polars.io,72489,9,2015-10-02
Sonya Bennett,,sonya.bennett@polars.io,70133,9,2016-03-22
Mark Ward,Operations,mark.ward@polars.io,125047,0,2025-01-14
Joseph Davis,Sales,joseph.davis@polars.io,86234,2,2022-11-02
Shannon Klein,Finance,shannon.klein@polars.io,199260,7,2017-07-19
Justin Hawkins,Marketing,justin.hawkins@polars.io,104507,2,2022-12-31
Michele Melton,HR,michele.melton@polars.io,91054,2,2023-04-25
Timothy Smith,Operations,timothy.smith@polars.io,94829,0,2024-12-19
John Thomas,Finance,john.thomas@polars.io,121967,4,2020-12-18
Robert Meza,Operations,robert.meza@polars.io,128651,10,2015-04-07
Daniel Garcia,Finance,daniel.garcia@polars.io,146812,1,2024-04-17
Michael Higgins,HR,michael.higgins@polars.io,92108,5,2019-11-26
Andrew Costa,Operations,andrew.costa@polars.io,108020,6,2019-06-27
Nicholas Craig MD,,nicholas.md@polars.io,79928,5,2019-12-29
Terry Walls,,terry.walls@polars.io,89421,10,2014-07-24
Andrew Logan,Finance,andrew.logan@polars.io,125047,8,2017-05-24
Gabriela Odonnell,HR,gabriela.odonnell@polars.io,89943,0,2025-03-13
Kirsten Spencer,,kirsten.spencer@polars.io,80926,0,2024-10-04
Henry Jackson,HR,henry.jackson@polars.io,93824,10,2015-06-24
Felicia Smith,Operations,felicia.smith@polars.io,99082,7,2017-12-27
Jessica Wells,Engineering,jessica.wells@polars.io,157475,7,2018-04-24
Danielle Gibson,HR,danielle.gibson@polars.io,79295,9,2016-06-21
Connor Hensley,Marketing,connor.hensley@polars.io,113880,2,2022-11-22
Julie Smith,Finance,julie.smith@polars.io,179204,1,2023-11-03
Yvonne Murray,Sales,yvonne.murray@polars.io,66781,9,2015-07-28
Sheena Mills,,sheena.mills@polars.io,63867,6,2018-12-19
Michael Johnson,Engineering,michael.johnson@polars.io,179098,0,2025-04-16
Ashley Miller,HR,ashley.miller@polars.io,98686,3,2021-11-27
Jennifer Brown,Sales,jennifer.brown@polars.io,71389,5,2019-07-29
Kayla Sanchez,Marketing,kayla.sanchez@polars.io,139451,2,2023-05-15
Jennifer Black,Sales,jennifer.black@polars.io,62481,7,2017-08-28
Kristina Cowan,Engineering,kristina.cowan@polars.io,131181,8,2016-07-21
Judy Russell,HR,judy.russell@polars.io,93532,9,2016-04-28
Katie Gomez,HR,katie.gomez@polars.io,96067,6,2019-06-26
Derek Smith,Finance,derek.smith@polars.io,142398,5,2019-10-02
Katherine Davis,Finance,katherine.davis@polars.io,139672,2,2023-05-04
Amanda Lowe,Operations,amanda.lowe@polars.io,130407,0,2024-12-14
Mary Caldwell,Engineering,mary.caldwell@polars.io,160569,7,2018-02-21
James Burke,Marketing,james.burke@polars.io,91842,1,2024-05-10
Kevin Graham,Operations,kevin.graham@polars.io,80231,9,2016-03-11
Lisa Cline,Sales,lisa.cline@polars.io,85057,7,2017-11-05
James Harrington,,james.harrington@polars.io,55376,9,2015-11-09
Matthew Schneider,Operations,matthew.schneider@polars.io,94213,9,2015-08-16
Timothy Rice,HR,timothy.rice@polars.io,89736,6,2018-12-04
Michael Tyler,Sales,michael.tyler@polars.io,55430,3,2021-10-10
Danielle Martinez,Engineering,danielle.martinez@polars.io,193079,3,2022-06-22
Corey Valdez,Operations,corey.valdez@polars.io,89716,0,2024-08-16
Joseph Allen,Engineering,joseph.allen@polars.io,124813,2,2023-07-01
Jamie Williams,Marketing,jamie.williams@polars.io,117885,9,2016-02-17
Andrew Miller,Engineering,andrew.miller@polars.io,131495,0,2025-05-22
Courtney Calderon,HR,courtney.calderon@polars.io,71681,2,2022-08-07
Elizabeth Fields,Engineering,elizabeth.fields@polars.io,197983,9,2015-10-05
Lindsay Short,Operations,lindsay.short@polars.io,109841,9,2016-01-16
Yvonne Campbell,Sales,yvonne.campbell@polars.io,61103,4,2021-02-02
Marcus Casey,Engineering,marcus.casey@polars.io,169668,1,2023-12-11
Monique Clark,Finance,monique.clark@polars.io,192151,1,2024-02-18
Nathaniel Reyes,HR,nathaniel.reyes@polars.io,68817,1,2023-07-27
Kylie Olson,Finance,kylie.olson@polars.io,155968,5,2019-10-22
Aaron Clark,HR,aaron.clark@polars.io,94383,3,2021-07-26
Johnny Austin,Operations,johnny.austin@polars.io,120111,0,2025-05-22
Angela Fowler,,angela.fowler@polars.io,89665,1,2023-11-12
Kelly White,Marketing,kelly.white@polars.io,125131,9,2015-07-23
Rachel Brown,Engineering,rachel.brown@polars.io,175974,9,2016-02-07
Joy Navarro,Engineering,joy.navarro@polars.io,188864,9,2015-09-03
Teresa Moreno,Engineering,teresa.moreno@polars.io,137001,9,2015-10-04
Gregory Burnett,HR,gregory.burnett@polars.io,94059,10,2014-11-07
William Cervantes,HR,william.cervantes@polars.io,71790,9,2016-03-21
Kiara Davis,Marketing,kiara.davis@polars.io,99037,3,2022-07-17
Jeffrey Barnes,Sales,jeffrey.barnes@polars.io,56571,7,2017-09-01
Mark Cruz,Finance,mark.cruz@polars.io,135456,3,2021-09-05
Mitchell Barnes,HR,mitchell.barnes@polars.io,87134,0,2025-01-27
Mark Lewis,Engineering,mark.lewis@polars.io,193454,10,2015-04-02
Luis Mitchell,Sales,luis.mitchell@polars.io,68185,4,2021-03-09
Richard Gray,Finance,richard.gray@polars.io,128891,4,2021-02-14
Miguel Atkinson,,miguel.atkinson@polars.io,76228,0,2025-05-19
Troy Washington,Marketing,troy.washington@polars.io,101842,5,2019-12-28
Alexis Lopez,Marketing,alexis.lopez@polars.io,117284,9,2016-07-04
Emily Wright,Finance,emily.wright@polars.io,143020,3,2022-01-29
Tricia Sherman,Finance,tricia.sherman@polars.io,164294,10,2014-11-16
Janice Barnes,HR,janice.barnes@polars.io,62330,10,2015-05-11
Nicole Lee,HR,nicole.lee@polars.io,70183,10,2014-11-26
Manuel Jackson,Finance,manuel.jackson@polars.io,190381,5,2019-11-24
Sarah Gordon,Finance,sarah.gordon@polars.io,174257,0,2024-10-23
Kyle Chang,Engineering,kyle.chang@polars.io,194048,10,2015-02-08
John Matthews,,john.matthews@polars.io,56226,3,2021-09-25
Daniel Farmer,Marketing,daniel.farmer@polars.io,101739,5,2020-06-14
William Mitchell,Operations,william.mitchell@polars.io,98380,0,2025-01-24
Kim Cook,HR,kim.cook@polars.io,95014,2,2022-09-28
Randy Miller,,randy.miller@polars.io,80530,2,2022-09-16
Justin Shepard,Sales,justin.shepard@polars.io,75203,5,2019-07-20
William Mitchell,Sales,william.mitchell@polars.io,72792,6,2019-06-04
Douglas Thompson,HR,douglas.thompson@polars.io,75574,5,2019-11-29
Shannon Reeves,Finance,shannon.reeves@polars.io,159666,3,2021-10-22
Mrs. Karen Terry,Engineering,mrs..terry@polars.io,142939,1,2024-01-07
Jillian Elliott,Finance,jillian.elliott@polars.io,124901,3,2022-05-31
Jennifer Davis,HR,jennifer.davis@polars.io,93160,0,2024-11-11
Mrs. Hannah Copeland,,mrs..copeland@polars.io,65097,3,2022-01-24
Madison Frye,HR,madison.frye@polars.io,94316,4,2021-01-31
Matthew Levy,Operations,matthew.levy@polars.io,130428,1,2023-10-26
Natasha Hopkins,Marketing,natasha.hopkins@polars.io,88697,3,2022-06-29
Mary Durham,HR,mary.durham@polars.io,85400,8,2017-05-20
Andrew Sawyer,Sales,andrew.sawyer@polars.io,75380,0,2024-07-30
Emily Cook,Finance,emily.cook@polars.io,197894,1,2024-01-28
Sharon Serrano,HR,sharon.serrano@polars.io,63023,1,2023-10-24
Thomas Wolf,Finance,thomas.wolf@polars.io,160957,0,2024-09-24
Amy Johnson,Finance,amy.johnson@polars.io,160913,10,2015-04-03
Michael Hill,Engineering,michael.hill@polars.io,146287,3,2022-02-21
Nathaniel Fisher,Engineering,nathaniel.fisher@polars.io,189766,5,2019-12-05
Caitlyn Moreno,Marketing,caitlyn.moreno@polars.io,87710,4,2021-05-02
Joseph Holloway,Operations,joseph.holloway@polars.io,97933,1,2024-07-09
Renee Lynch,,renee.lynch@polars.io,88689,1,2024-04-02
Eric Petersen,,eric.petersen@polars.io,77958,8,2017-02-05
Brian Rodriguez,Engineering,brian.rodriguez@polars.io,138554,4,2020-09-27
William Moore,Operations,william.moore@polars.io,91224,1,2024-02-08
Matthew Johnson,,matthew.johnson@polars.io,77199,8,2016-12-03
Monique Quinn,Sales,monique.quinn@polars.io,63524,0,2024-11-17
Lauren Serrano,Marketing,lauren.serrano@polars.io,83306,1,2024-01-02
Holly Boyd,Sales,holly.boyd@polars.io,60643,6,2018-12-30
Paula Fernandez,Operations,paula.fernandez@polars.io,126181,9,2015-09-19
Cody Smith,Marketing,cody.smith@polars.io,134799,7,2017-09-06
Sandra Garza,Engineering,sandra.garza@polars.io,160952,5,2020-04-07
Scott Scott,Marketing,scott.scott@polars.io,129702,10,2014-10-19
Chelsea Fitzgerald,Sales,chelsea.fitzgerald@polars.io,85519,9,2016-05-12
Catherine Wright,Sales,catherine.wright@polars.io,85688,1,2023-11-26
David Johnson,Engineering,david.johnson@polars.io,181000,7,2018-03-22
Mike Gomez,Operations,mike.gomez@polars.io,89418,9,2016-03-08
Blake Berry,Engineering,blake.berry@polars.io,171390,2,2022-07-24
Theresa Cole,Marketing,theresa.cole@polars.io,101648,5,2019-11-28
Theresa Brown,HR,theresa.brown@polars.io,61983,1,2023-11-16
Ann Smith,Sales,ann.smith@polars.io,78032,7,2017-11-24
Dean Adams,Finance,dean.adams@polars.io,142387,4,2021-01-20
Gary Thomas,,gary.thomas@polars.io,63348,8,2017-05-27
Patricia Mckee,HR,patricia.mckee@polars.io,67011,5,2019-10-07
Tara Martin,Marketing,tara.martin@polars.io,84648,4,2020-10-18
Marc Shaw,HR,marc.shaw@polars.io,86267,9,2015-12-20
Yvonne Phillips,Operations,yvonne.phillips@polars.io,120689,3,2021-10-10
Pamela Solis,Operations,pamela.solis@polars.io,111612,6,2019-06-15
Eric Fox,Engineering,eric.fox@polars.io,147294,9,2015-12-11
Daniel Bright,Finance,daniel.bright@polars.io,177062,9,2016-01-25
Melanie Garner,,melanie.garner@polars.io,70476,2,2022-08-12
Tracey Wells,Marketing,tracey.wells@polars.io,85104,9,2015-11-12
Mr. Daniel Contreras,Sales,mr..contreras@polars.io,85337,5,2019-10-07
Shawn Hale,Sales,shawn.hale@polars.io,84177,2,2023-02-10
David Stewart,HR,david.stewart@polars.io,64561,9,2016-05-24
Jesus Castillo,Marketing,jesus.castillo@polars.io,133350,9,2016-01-06
Paul Guerrero,Engineering,paul.guerrero@polars.io,184788,10,2014-08-15
Brandon Adams,Sales,brandon.adams@polars.io,60933,3,2022-05-07
Joseph Lopez,,joseph.lopez@polars.io,55012,2,2022-08-13
Adam Walker,Operations,adam.walker@polars.io,109686,8,2017-02-19
Christina Williams,HR,christina.williams@polars.io,97875,7,2018-04-09
Philip Cunningham,Operations,philip.cunningham@polars.io,124663,5,2020-02-15
Nancy Shaw,,nancy.shaw@polars.io,74958,6,2019-01-23
Stacy Norman,Sales,stacy.norman@polars.io,55532,9,2015-10-31
Joseph Miller,HR,joseph.miller@polars.io,68359,4,2021-06-16
Sarah Haney,Engineering,sarah.haney@polars.io,191943,0,2025-07-16
Adam Avila,Marketing,adam.avila@polars.io,116702,5,2020-05-22
Dr. Timothy Byrd,Finance,dr..byrd@polars.io,156989,0,2025-03-18
Thomas Knight,HR,thomas.knight@polars.io,98676,6,2018-09-01
Brianna Smith,Engineering,brianna.smith@polars.io,170173,6,2019-01-04
Billy Lopez,HR,billy.lopez@polars.io,95724,3,2021-08-12
Katie Garcia,Operations,katie.garcia@polars.io,111121,2,2023-04-12
Brianna Scott,,brianna.scott@polars.io,80204,5,2019-12-17
Colleen Dominguez,Operations,colleen.dominguez@polars.io,98905,10,2015-05-16
Christina Craig,Operations,christina.craig@polars.io,80760,1,2023-08-20
Gabriella Arnold,Sales,gabriella.arnold@polars.io,64436,7,2017-08-16
Brian Wong,HR,brian.wong@polars.io,68898,1,2024-05-07
Douglas Marshall,Marketing,douglas.marshall@polars.io,132818,6,2018-11-27
Eric Brown,Finance,eric.brown@polars.io,199223,6,2018-09-02
Rachel Webb,Operations,rachel.webb@polars.io,109779,8,2016-12-13
Crystal Rodriguez,,crystal.rodriguez@polars.io,84494,6,2019-01-18
Jose Smith,Operations,jose.smith@polars.io,92176,6,2018-09-12
Melissa Sims,Sales,melissa.sims@polars.io,87647,3,2021-07-18
James Murillo,,james.murillo@polars.io,72645,6,2018-10-12
Kathleen Wyatt,,kathleen.wyatt@polars.io,79049,0,2025-06-27
Tonya Matthews,,tonya.matthews@polars.io,86671,5,2020-05-21
Eric Wagner,,eric.wagner@polars.io,86557,1,2024-05-05
Cynthia Martin,Marketing,cynthia.martin@polars.io,127926,8,2017-02-25
Dennis Garcia,HR,dennis.garcia@polars.io,93878,1,2023-10-23
Ricky Zamora,,ricky.zamora@polars.io,60796,3,2021-11-18
Keith Gross,Marketing,keith.gross@polars.io,128607,10,2014-08-11
Katherine Williams,Sales,katherine.williams@polars.io,75479,9,2016-06-21
Leah Harrison,Engineering,leah.harrison@polars.io,190127,0,2024-11-18
John Johnson,HR,john.johnson@polars.io,93597,7,2017-09-28
Erica Long,Marketing,erica.long@polars.io,101726,6,2019-01-19
